,Personal_Income,Credit_Limit,Credit_Rating,Number_of_Cards,Age,Education_Years,Gender,Student,Married,Ethnicity,Credit_Balance
0,16.28,1160,300,3,78,13,Male,Yes,Yes,African American,5
1,44.47,3500,300,3,81,16,Female,No,No,African American,8
2,88.83,4952,360,4,86,16,Female,No,Yes,Caucasian,15
3,20.92,1233,300,3,47,18,Female,Yes,Yes,Asian,16
4,33.02,3180,300,2,28,16,Male,No,Yes,African American,29
5,34.54,3271,300,3,57,17,Female,No,Yes,Asian,47
6,34.95,3327,300,3,54,14,Female,No,No,African American,50
7,15.48,2762,300,3,60,18,Male,No,No,Asian,52
9,17.39,2748,300,3,32,14,Male,No,Yes,Caucasian,68
10,50.7,3977,304,2,84,17,Female,No,No,African American,69
11,45.12,3762,300,3,80,8,Male,No,Yes,Caucasian,70
12,54.66,4116,314,2,70,8,Female,No,No,African American,75
13,25.08,3096,300,2,27,15,Female,No,Yes,Caucasian,81
16,22.57,1551,300,3,43,13,Female,Yes,Yes,Caucasian,98
17,53.48,4263,317,1,83,15,Male,No,No,Caucasian,99
18,21.24,3089,300,3,59,10,Female,No,No,Caucasian,108
21,41.19,3673,300,3,54,16,Female,No,Yes,Caucasian,121
22,58.35,4411,326,2,85,16,Female,No,Yes,Caucasian,126
23,28.47,3202,300,5,66,12,Male,No,Yes,Caucasian,132
24,76.27,4779,367,4,65,14,Female,No,Yes,Caucasian,133
26,29.73,3536,300,2,52,15,Female,No,No,African American,133
27,15.87,3085,300,1,39,13,Male,No,No,Caucasian,136
28,68.46,4712,340,2,71,16,Male,No,Yes,Caucasian,136
30,20.94,3254,300,1,30,15,Female,No,No,Asian,145
31,19.14,3291,300,2,75,13,Female,No,No,African American,148
32,29.71,3351,300,5,71,14,Female,No,Yes,Asian,148
33,26.07,3388,300,4,74,17,Female,No,Yes,African American,155
34,41.42,2120,300,4,24,11,Female,Yes,No,Caucasian,156
35,69.17,4668,341,2,34,11,Female,No,No,African American,156
36,26.37,3235,300,5,78,11,Male,No,Yes,Asian,159
37,27.37,3449,300,3,40,9,Female,No,Yes,Caucasian,162
39,31.34,3526,300,3,38,7,Female,No,No,Caucasian,172
40,21.01,3402,300,2,68,17,Male,No,Yes,African American,182
41,36.36,3613,300,4,35,9,Male,No,Yes,Asian,187
42,36.47,3806,309,2,52,13,Male,No,No,African American,188
43,55.05,4381,321,3,74,17,Male,No,Yes,Asian,188
45,24.31,3409,300,2,23,7,Female,No,Yes,Caucasian,194
46,10.63,1647,300,2,71,10,Female,Yes,Yes,Asian,195
48,21,3388,300,2,37,12,Female,No,No,African American,203
49,80.62,5308,394,1,57,7,Female,No,Yes,Asian,204
50,14.6,2955,300,5,37,9,Male,No,Yes,African American,204
51,23.11,3476,300,2,50,15,Female,No,No,Caucasian,209
52,12.03,3182,300,2,58,18,Female,No,Yes,Caucasian,210
53,39.71,3969,301,2,27,20,Male,No,Yes,African American,211
54,23.79,3615,300,2,70,14,Male,No,No,African American,216
55,85.43,5182,402,6,60,12,Male,No,Yes,African American,218
12,54.66,4116,314,2,70,8,Female,No,No,African American,75
13,25.08,3096,300,2,27,15,Female,No,Yes,Caucasian,81
16,22.57,1551,300,3,43,13,Female,Yes,Yes,Caucasian,98
17,53.48,4263,317,1,83,15,Male,No,No,Caucasian,99
18,21.24,3089,300,3,59,10,Female,No,No,Caucasian,108
21,41.19,3673,300,3,54,16,Female,No,Yes,Caucasian,121
22,58.35,4411,326,2,85,16,Female,No,Yes,Caucasian,126
23,28.47,3202,300,5,66,12,Male,No,Yes,Caucasian,132
24,76.27,4779,367,4,65,14,Female,No,Yes,Caucasian,133
56,107.99,6033,449,4,64,14,Male,No,Yes,Caucasian,227
57,51.35,4327,320,3,46,15,Male,No,No,African American,230
58,41.03,4229,337,3,79,19,Female,No,Yes,Caucasian,246
60,18.15,3461,300,3,56,15,Male,No,Yes,African American,255
62,54.32,3063,300,3,59,8,Female,Yes,No,Caucasian,269
63,16.48,3326,300,4,41,15,Male,No,No,Caucasian,271
64,15.13,3300,300,5,66,13,Female,No,No,Caucasian,279
66,65.9,5140,370,1,49,17,Female,No,Yes,Caucasian,293
67,59.86,4964,365,1,46,13,Female,No,Yes,Caucasian,295
68,13.56,3261,300,5,37,19,Male,No,Yes,Asian,297
69,21.15,3736,300,1,41,11,Male,No,No,Caucasian,298
