employee_id,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
65438,1,35,5,8,1,0,49,no
65141,1,30,5,4,0,0,60,no
7513,1,34,3,7,0,0,50,no
2542,2,39,1,10,0,0,50,no
48945,1,45,3,2,0,0,73,no
58896,2,31,3,7,0,0,85,no
20379,1,31,3,5,0,0,59,no
16290,1,33,3,6,0,0,63,no
73202,1,28,4,5,0,0,83,no
28911,1,32,5,5,1,0,54,no
29934,1,30,,1,0,0,77,no
49017,1,35,5,3,1,0,50,yes
60051,1,49,5,5,1,0,49,no
38401,2,39,3,16,0,0,80,no
77040,1,37,3,7,0,0,84,no
43931,1,37,1,10,0,0,60,no
7152,1,38,3,5,1,0,77,no
9403,1,34,1,4,0,0,51,no
17436,1,34,5,8,1,0,46,no
54461,1,37,3,9,0,0,59,no
12067,1,35,3,7,0,0,75,no
33332,1,41,4,11,0,0,57,no
58789,1,28,3,4,0,0,63,no
71177,1,27,,1,0,0,70,no
52057,2,39,5,7,0,0,59,no
26585,1,27,5,3,1,0,83,no
37749,1,31,5,4,1,0,68,no
2370,1,33,4,4,0,0,79,no
8219,1,29,5,3,1,0,80,no
74759,1,26,,1,0,0,44,no
27395,1,37,5,10,1,0,72,no
58536,2,26,1,2,0,0,61,no
35465,1,24,1,2,0,0,48,no
51756,2,57,4,6,0,0,58,no
57011,2,27,5,3,1,0,87,no
77064,1,40,2,4,1,0,47,no
64062,1,33,4,4,1,0,75,no
47123,1,40,5,3,0,0,47,no
56275,1,42,5,5,1,0,51,no
58304,1,33,5,6,1,0,51,yes
25014,1,34,3,10,0,0,80,no
40097,2,23,4,2,1,0,57,no
23560,1,59,4,26,1,0,52,no
17423,3,24,2,2,0,0,48,no
61758,1,44,5,12,0,0,88,no
75009,1,50,5,11,0,0,71,no
17876,1,37,4,4,0,0,71,no
36924,1,40,3,11,0,0,80,no
50408,1,30,3,3,1,0,49,no
18013,1,56,3,12,0,0,73,no
24104,1,20,4,2,1,0,60,no
32083,1,31,3,8,0,0,48,no
38330,1,40,3,12,1,0,65,no
33690,1,30,1,6,0,0,50,no
73161,1,39,3,5,1,0,62,no
13596,2,26,2,2,0,0,85,no
45709,1,29,,1,0,0,49,no
32709,1,40,3,5,1,0,84,no
26599,2,27,,1,1,0,47,no
32656,1,40,4,7,0,0,52,no
17673,1,50,4,17,1,0,47,yes
3113,1,25,3,3,0,0,53,no
9150,1,28,,1,1,0,80,no
14107,1,35,4,2,1,0,52,no
58747,1,34,5,5,0,0,87,no
3342,1,31,3,3,1,0,58,no
77981,1,27,,1,1,1,58,yes
16502,1,27,,1,0,0,61,yes
73729,1,30,4,6,1,0,75,no
45624,1,30,3,7,1,0,84,yes
75677,1,50,5,5,1,0,59,no
24040,1,34,5,7,1,0,78,yes
68082,1,41,1,12,0,0,52,no
51786,1,32,4,6,0,0,44,no
77577,1,50,3,14,0,0,52,no
54782,1,38,4,2,1,0,49,yes
52368,2,29,1,5,0,0,51,no
75103,1,35,4,3,1,0,53,no
7520,1,25,3,2,1,0,91,no
59147,1,30,3,3,0,0,58,yes
53092,1,47,3,7,0,0,79,no
34564,1,35,2,7,0,0,53,no
66013,2,25,3,2,0,0,53,no
77135,1,36,4,8,0,0,82,no
44575,1,29,,1,0,0,65,yes
47498,1,42,5,11,1,0,60,yes
20798,1,28,2,6,0,0,52,no
69094,1,39,1,9,0,0,49,no
22261,1,32,5,3,1,0,69,yes
9589,1,31,,1,0,0,51,no
62658,1,20,,1,0,0,55,no
21628,1,34,3,8,0,0,85,no
68484,2,46,4,3,1,0,74,no
44523,1,47,3,7,0,0,44,no
35420,1,44,4,13,0,0,53,no
43923,1,31,4,4,1,0,86,no
64109,1,23,,1,0,0,77,no
41983,1,33,3,5,0,0,57,no
21440,1,41,3,12,1,0,52,no
51256,1,60,5,17,0,0,59,no
66635,1,31,5,4,1,0,63,yes
16027,1,37,3,11,0,0,57,no
46020,2,39,3,4,1,0,83,no
28509,1,40,5,8,1,0,54,no
33587,1,42,5,4,0,0,50,no
21387,1,35,4,6,1,0,57,yes
55927,1,41,4,6,1,0,62,no
60763,1,23,3,2,0,0,73,no
53167,2,31,3,4,0,0,50,no
32672,1,42,2,19,0,0,79,no
48785,3,29,4,2,0,0,49,no
51444,1,30,,1,1,0,54,no
75778,1,41,4,6,1,0,63,no
14141,1,40,3,2,1,0,90,yes
17894,1,34,5,5,0,0,49,no
54380,1,31,4,2,0,0,46,no
51892,1,27,5,2,0,0,86,yes
3625,4,30,3,2,0,0,72,no
38771,1,27,4,4,1,0,72,yes
18959,4,36,4,7,0,0,82,no
21137,1,35,4,6,0,0,77,no
26097,1,34,5,7,1,0,51,yes
38052,1,37,5,3,0,1,92,yes
41746,1,27,,1,1,0,58,no
72744,2,47,3,5,1,0,71,no
5461,1,28,,1,1,0,83,no
15227,1,40,5,5,0,0,68,no
66874,1,30,,1,0,0,50,no
42068,1,38,5,9,1,0,61,no
54825,1,30,3,2,0,0,47,no
77709,1,28,5,3,0,0,46,no
43712,2,28,5,4,1,0,67,no
74783,1,35,4,7,0,0,58,no
19318,1,32,3,8,0,0,89,yes
12096,1,36,5,8,0,0,50,no
5102,1,24,,1,1,0,56,no
29521,1,27,3,4,1,0,78,no
36371,2,34,3,7,0,0,56,no
51164,1,31,4,4,1,1,78,no
17812,1,30,4,2,0,0,77,no
7606,2,30,3,7,1,1,76,no
50593,1,31,,1,1,0,56,no
73735,1,30,5,3,1,0,84,no
29313,1,28,3,2,0,0,57,no
40262,2,28,3,5,0,0,81,no
36904,1,29,3,2,0,0,51,no
62552,1,46,3,11,1,0,51,no
63285,1,31,5,4,1,0,80,no
74203,1,28,1,4,0,0,72,no
75344,1,31,4,6,0,0,50,no
74018,1,37,3,9,0,0,48,no
34985,2,34,5,8,0,0,88,yes
35930,1,25,5,3,1,0,70,yes
6708,1,40,4,4,1,0,57,no
5515,1,43,3,7,1,0,56,yes
53373,1,36,1,5,0,0,56,no
69316,1,29,3,3,0,0,63,no
41009,2,35,3,2,0,0,56,no
50622,1,34,5,2,0,0,84,no
30106,1,32,4,4,1,0,45,no
