IsCanceled,Adults,Children,Country,IsRepeatedGuest,CustomerType,ADR,hotel,book_id,ArrivalDate
0,2,1,ESP,0,Transient,154.77,Resort,RTransient2015July1-14,7/1/2015
0,2,0,ESP,0,Transient,,resort,RTransient2015July2-13,7/2/2015
0,2,0,FRA,0,Transient,71.55,Resort,RTransient2015July4-2,7/4/2015
1,2,2,PRT,0,Transient,163,Resort,RTransient2015July4-6,7/4/2015
0,3,0,PRT,0,Transient,225,Resort,RTransient2015July5-10,7/5/2015
1,2,2,PRT,0,Transient,153,Resort,RTransient2015July9-6,7/9/2015
0,2,0,PRT,0,Transient,87.3,Resort,RTransient2015July10-8,7/10/2015
0,2,0,PRT,0,Transient,139.4,Resort,RTransient2015July11-7,7/11/2015
1,,0,PRT,0,Transient,79.5,Resort,RTransient2015July13-16,7/13/2015
0,2,0,ESP,0,Transient,120,Resort,RTransient2015July13-18,7/13/2015
0,3,0,PRT,0,Transient,163.8,Resort,RTransient2015July13-24,7/13/2015
1,2,0,PRT,0,Transient,127.25,Resort,RTransient2015July17-7,7/17/2015
0,2,2,PRT,0,Transient,249,Resort,RTransient2015July18-15,7/18/2015
0,2,,ESP,0,Transient,131.37,Resort,RTransient2015July19-11,7/19/2015
0,2,2,GBR,0,Transient,167.5,Resort,RTransient2015July20-20,7/20/2015
0,2,1,PRT,0,Transient,141.6,resort,RTransient2015July20-29,7/20/2015
0,3,0,PRT,0,Transient,163.33,Resort,RTransient2015July21-7,7/21/2015
1,2,2,PRT,0,Transient,210,Resort,RTransient2015July23-9,7/23/2015
0,2,0,ESP,0,Transient-Party,164,Resort,RTransient-Party2015July24-1,7/24/2015
1,,2,PRT,0,Transient,210,Resort,RTransient2015July24-18,7/24/2015
0,2,0,ESP,0,Transient,659.6,Resort,RTransient2015July27-31,7/27/2015
1,2,0,PRT,0,Transient-Party,252,Resort,RTransient-Party2015August1-5,8/1/2015
1,2,0,PRT,0,Transient,209.6,Resort,RTransient2015August2-4,8/2/2015
0,2,0,PRT,0,Transient,0,resort,RTransient2015August5-2,8/5/2015
